<pre>fmv:  [341206, 341206, 45000, 300000, 322588] total loss= 433274.50864077656
fmv:  [341206, 341206, 45000, 305000, 317588] total loss= 433274.50864077656
fmv:  [341206, 341206, 45000, 310000, 312588] total loss= 433274.50864077656
fmv:  [341206, 341206, 45000, 315000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 45000, 320000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 45000, 325000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 45000, 330000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 45000, 335000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 45000, 340000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 45000, 345000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 300000, 317588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 305000, 312588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 310000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 315000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 320000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 325000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 330000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 335000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 340000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 50000, 345000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 300000, 312588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 305000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 310000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 315000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 320000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 325000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 330000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 335000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 340000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 55000, 345000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 60000, 300000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 60000, 305000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 60000, 310000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 60000, 315000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 60000, 320000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 60000, 325000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 60000, 330000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 60000, 335000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 60000, 340000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 65000, 300000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 65000, 305000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 65000, 310000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 65000, 315000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 65000, 320000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 65000, 325000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 65000, 330000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 65000, 335000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 70000, 300000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 70000, 305000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 70000, 310000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 70000, 315000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 70000, 320000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 70000, 325000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 70000, 330000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 75000, 300000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 75000, 305000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 75000, 310000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 75000, 315000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 75000, 320000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 75000, 325000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 80000, 300000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 80000, 305000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 80000, 310000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 80000, 315000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 80000, 320000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 85000, 300000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 85000, 305000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 85000, 310000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 85000, 315000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 90000, 300000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 90000, 305000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 90000, 310000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 95000, 300000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 95000, 305000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 100000, 300000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 220000, 317588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 225000, 312588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 230000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 235000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 240000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 245000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 250000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 255000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 260000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 265000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 270000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 300000, 237588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 305000, 232588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 310000, 227588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 315000, 222588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 320000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 325000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 330000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 335000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 340000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 130000, 345000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 220000, 312588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 225000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 230000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 235000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 240000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 245000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 250000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 255000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 260000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 265000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 300000, 232588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 305000, 227588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 310000, 222588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 315000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 320000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 325000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 330000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 335000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 340000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 135000, 345000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 220000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 225000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 230000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 235000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 240000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 245000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 250000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 255000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 260000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 300000, 227588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 305000, 222588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 310000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 315000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 320000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 325000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 330000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 335000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 340000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 140000, 345000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 220000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 225000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 230000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 235000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 240000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 245000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 250000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 255000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 300000, 222588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 305000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 310000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 315000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 320000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 325000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 330000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 335000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 340000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 145000, 345000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 220000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 225000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 230000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 235000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 240000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 245000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 250000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 300000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 305000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 310000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 315000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 320000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 325000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 330000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 335000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 150000, 340000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 220000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 225000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 230000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 235000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 240000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 245000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 300000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 305000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 310000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 315000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 320000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 325000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 330000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 155000, 335000, 177588] total loss= 433274.50864077656
